date, pm25, pm10, o3, no2, so2, co
2024/2/15, 50, 16, 10, 15, 6, 2
2024/2/16, 32, 19, 17, 16, 6, 2
2024/2/17, 38, , , , , 
2024/2/19, 49, 38, 12, 22, 6, 3
2024/2/20, 62, , 8, 38, 7, 6
2024/2/21, 77, 35, 18, 44, 7, 8
2024/2/22, 68, 39, 27, 37, 6, 6
2024/2/23, 89, 34, 20, 19, 6, 1
2024/2/24, 68, 30, 26, 39, 6, 5
2024/2/25, 85, 36, 19, 35, 6, 5
2024/2/26, 79, 27, 29, 45, 6, 4
2024/2/27, 64, 32, 29, 58, 7, 8
2024/2/28, 80, 39, 27, 70, 7, 10
2024/2/29, 94, 39, 16, 42, 6, 7
2024/3/1, 87, 45, 28, 25, 6, 3
2024/3/2, 71, 22, 25, 29, 7, 2
2024/3/3, 58, 30, 27, 48, 6, 8
2024/3/4, 71, 28, 24, 27, 6, 2
2024/3/5, 63, , , , , 
2024/3/7, 63, 22, 4, 49, 7, 2
2024/3/8, 61, , , , , 
2024/3/10, 53, , , , , 
2024/3/12, 53, , , , , 
2024/3/14, 53, 18, 12, 59, 8, 12
2024/3/15, 64, 25, 30, 27, 6, 7
2024/3/16, 69, , , , , 
2024/3/19, 61, , , , , 
2024/3/21, 35, 23, 25, 58, 6, 11
2024/3/22, 53, 27, 17, 37, 7, 5
2024/3/23, 54, 23, 14, 32, 5, 12
2024/3/24, 61, , , , , 
2024/3/26, 49, , , , , 
2023/10/1, 51, 23, 7, 9, 4, 15
2023/10/2, 54, 24, 7, 9, 3, 15
2023/10/3, 43, 24, 7, 12, 3, 17
2023/10/4, 51, 28, 8, 20, 3, 20
2023/10/5, 62, 39, 9, 23, 3, 22
2023/10/6, 73, 37, 7, 13, 3, 18
2023/10/7, 62, 31, 8, 13, 3, 19
2023/10/8, 60, 29, 6, 18, 3, 20
2023/10/9, 60, 29, 7, 15, 3, 19
2023/10/10, 56, 28, 7, 7, 3, 17
2023/10/11, 50, , , , , 
2023/10/25, 78, 38, 10, 35, 4, 10
2023/10/26, 83, 39, 10, 26, 4, 11
2023/10/27, 82, 41, 11, 17, 4, 9
2023/10/28, 69, 22, 12, 19, 5, 9
2023/10/29, 56, 38, 14, 34, 5, 12
2023/10/30, 71, 54, 17, 30, 5, 13
2023/10/31, 93, 44, 15, 20, 6, 4
2023/11/1, 79, 31, 14, 18, 4, 5
2023/11/2, 63, 19, 13, 18, 5, 8
2023/11/3, 56, 22, 13, 9, 4, 8
2023/11/4, 51, 33, 14, 14, 5, 7
2023/11/5, 55, 20, 12, , 4, 8
2023/11/6, 50, 46, 11, 38, 5, 11
2023/11/7, 70, 57, 14, 38, 5, 12
2023/11/8, 86, 52, 13, 26, 4, 11
2023/11/9, 76, 41, 10, 36, 5, 11
2023/11/10, 71, 27, 14, 10, 4, 9
2023/11/11, 58, 18, 14, , 4, 8
2023/11/12, 45, 16, 12, , 5, 2
2023/11/13, 47, 13, 11, , 5, 2
2023/11/22, 60, 15, 9, 14, 6, 2
2023/11/23, 65, , , , , 
2023/11/25, 74, 13, 17, , 6, 1
2023/11/26, 56, 13, 12, 38, 7, 3
2023/11/27, 63, 24, 14, 48, 7, 4
2023/11/28, 88, 19, 11, 21, 5, 3
2023/11/29, 125, 23, 12, 43, 5, 4
2023/11/30, 143, 33, 12, 23, 5, 3
2023/12/1, 62, 25, 10, 13, 5, 2
2023/12/2, 47, 26, 11, , 5, 2
2023/12/3, 47, 22, 10, 17, 5, 2
2023/12/4, 54, 32, 9, 10, 7, 3
2023/12/5, 57, 51, 6, 8, 8, 5
2023/12/6, 72, , , , , 
2023/12/8, 57, 12, 6, 8, , 
2023/12/9, 40, , 9, 13, , 
2023/12/10, 44, 40, 13, 17, 9, 5
2023/12/11, 91, 48, 12, 15, 9, 5
2023/12/12, 130, 56, 7, 10, 11, 6
2023/12/13, 138, 33, 13, 14, 7, 2
2023/12/14, 70, 25, 13, 9, 7, 2
2023/12/15, 44, 21, 10, 20, 6, 2
2023/12/16, 48, 20, 14, , 8, 2
2023/12/17, 37, 22, 11, 14, 8, 2
2023/12/18, 31, 34, 11, 18, 8, 3
2023/12/19, 66, 50, 12, 23, 10, 6
2023/12/20, 109, 49, 14, , 8, 3
2023/12/21, 77, 20, 11, 22, 8, 3
2023/12/22, 70, 19, 13, 16, 7, 3
2023/12/23, 64, 27, 14, 17, 8, 3
2023/12/24, 59, 32, 14, 12, 9, 4
2023/12/25, 69, 37, 14, 11, 7, 3
2023/12/26, 77, 39, 12, , 7, 
2023/12/27, 79, 41, 13, , 8, 
2023/12/28, 99, 48, 16, 18, 11, 4
2023/12/29, 145, 60, 17, 14, 9, 3
2023/12/30, 107, 54, 13, 16, 8, 3
2023/12/31, 86, 40, 13, 20, , 
2023/7/1, 42, 19, 16, 33, 5, 16
2023/7/2, 58, 24, 14, 37, 6, 17
2023/7/3, 60, 37, 24, 50, 4, 18
2023/7/4, 69, 42, 23, 45, 3, 19
2023/7/5, 71, 46, 31, 44, 2, 19
2023/7/6, 73, 44, 24, 54, 1, 18
2023/7/7, 72, 35, 20, 22, 2, 14
2023/7/8, 64, 25, 18, 23, 2, 16
2023/7/9, 42, 18, 21, 44, 3, 17
2023/7/10, 37, 21, 18, 24, 7, 4
2023/7/11, 54, 24, 18, 35, 3, 5
2023/7/12, 66, 29, 18, 26, 2, 7
2023/7/13, 73, 32, 16, 37, 3, 7
2023/7/14, 78, 36, 17, 28, 2, 7
2023/7/15, 78, 30, 17, 9, 2, 4
2023/7/16, 61, 22, 14, 35, 3, 5
2023/7/17, 47, 24, 14, 26, 3, 4
2023/7/18, 55, 25, 15, 49, 3, 4
2023/7/19, 45, 24, 13, 44, 2, 6
2023/7/20, 55, 24, 15, 41, 2, 7
2023/7/21, 64, 26, 15, 36, 2, 7
2023/7/22, 72, 26, 13, 38, 2, 7
2023/7/23, 83, 30, 12, 30, 2, 6
2023/7/24, 82, 26, 13, 38, 2, 6
2023/7/25, 62, 28, 14, 60, 2, 8
2023/7/26, 72, 38, 10, 20, 2, 6
2023/7/27, 78, 45, 14, 25, 2, 5
2023/7/28, 56, 38, 14, 24, 2, 6
2023/7/29, 45, 32, 11, 19, 1, 6
2023/7/30, 44, 27, 11, 44, 2, 8
2023/7/31, 47, 39, 9, 50, 1, 8
2023/8/1, 67, 36, 12, 40, 1, 9
2023/8/2, 66, 35, 12, 46, 1, 10
2023/8/3, 64, 31, 11, 51, 1, 11
2023/8/4, 69, 32, 12, 37, , 11
2023/8/5, 72, 23, 9, 10, , 8
2023/8/6, 60, 13, 10, 44, 3, 10
2023/8/7, 47, 19, 10, 34, 3, 10
2023/8/8, 46, 34, 9, 30, 3, 9
2023/8/9, 55, 23, 9, 26, 3, 10
2023/8/10, 51, 17, 9, 27, 3, 10
2023/8/11, 49, 22, 9, 36, 2, 10
2023/8/12, 43, 24, 9, 19, 3, 10
2023/8/13, 53, 25, 12, 25, 3, 10
2023/8/14, 62, 29, 16, 24, 3, 12
2023/8/15, 64, 28, 18, 24, 3, 12
2023/8/16, 63, 31, 21, 27, 2, 13
